user_id,created_at,text,is_quote,is_retweet,retweet_text,retweet_created_at,lang
1320375907111096325,2022-07-04T18:03:41Z,and then they smooch! ⚡️ #steddie #StrangerThings https://t.co/zCkFYRrU6A,False,True,and then they smooch! ⚡️ #steddie #StrangerThings https://t.co/zCkFYRrU6A,2022-07-03T22:51:28Z,en
1327547863883247616,2022-07-04T18:03:41Z,"The Duffer Brothers say they will begin writing the final season of #StrangerThings in August.

(Source: https://t.co/WCgfyGpraw) https://t.co/E5iqgvOufq",False,True,"The Duffer Brothers say they will begin writing the final season of #StrangerThings in August.

(Source: https://t.co/WCgfyGpraw) https://t.co/E5iqgvOufq",2022-07-04T15:26:12Z,en
1498691444051222529,2022-07-04T18:03:40Z,"stranger things vol 2 spoilers 

Eddie playing Master of Puppets will become one of the most iconic scenes in television of this year, easily #StrangerThings 
 https://t.co/iq6RXN1qRB",False,True,"stranger things vol 2 spoilers 

Eddie playing Master of Puppets will become one of the most iconic scenes in television of this year, easily #StrangerThings 
 https://t.co/iq6RXN1qRB",2022-07-01T19:38:34Z,en
1342347441375490048,2022-07-04T18:03:39Z,the fact that some of the best scenes were improvised &gt;&gt;&gt; #StrangerThings https://t.co/y0pZdDawhB,False,True,the fact that some of the best scenes were improvised &gt;&gt;&gt; #StrangerThings https://t.co/y0pZdDawhB,2022-07-03T23:08:47Z,en
1370043425639260160,2022-07-04T18:03:39Z,BRASIL EU ESPEREI TRÊS TEMPORADAS POR ESSE BEIJO ENTT NÃO VEM DIZER QUE É EXAGERO POIS NÃO É #StrangerThings #strangerthingsseason4 https://t.co/4cgPtp6eqL,False,True,BRASIL EU ESPEREI TRÊS TEMPORADAS POR ESSE BEIJO ENTT NÃO VEM DIZER QUE É EXAGERO POIS NÃO É #StrangerThings #strangerthingsseason4 https://t.co/4cgPtp6eqL,2022-07-03T04:44:00Z,en
1078122474636742656,2022-07-04T18:03:39Z,"many thoughts head full 
#steddie #StrangerThings https://t.co/swmcOc2rVz",False,True,"many thoughts head full 
#steddie #StrangerThings https://t.co/swmcOc2rVz",2022-07-03T18:20:16Z,en
1149292802762838016,2022-07-04T18:03:38Z,and then they smooch! ⚡️ #steddie #StrangerThings https://t.co/zCkFYRrU6A,False,True,and then they smooch! ⚡️ #steddie #StrangerThings https://t.co/zCkFYRrU6A,2022-07-03T22:51:28Z,en
1327745264141152257,2022-07-04T18:03:38Z,Nancy Wheeler in every episode of #StrangerThings https://t.co/g4lDA7ig58,False,True,Nancy Wheeler in every episode of #StrangerThings https://t.co/g4lDA7ig58,2022-07-03T05:31:05Z,en
1220079164054740994,2022-07-04T18:03:37Z,"#LUMAX: show me what i’m looking for. 

•

•

#StrangerThings 

 https://t.co/bL9eP7Rgzh",False,True,"#LUMAX: show me what i’m looking for. 

•

•

#StrangerThings 

 https://t.co/bL9eP7Rgzh",2022-07-04T17:59:19Z,en
1109642400601763841,2022-07-04T18:03:37Z,The trick is to have fun making it. (No memory of where the bloody fingerprints came from)🩸🙃 #strangerthings @Stranger_Things https://t.co/1leB26KJiM,False,True,The trick is to have fun making it. (No memory of where the bloody fingerprints came from)🩸🙃 #strangerthings @Stranger_Things https://t.co/1leB26KJiM,2022-07-04T16:06:43Z,en
1152994641001746432,2022-07-04T18:03:37Z,Nancy Wheeler in every episode of #StrangerThings https://t.co/g4lDA7ig58,False,True,Nancy Wheeler in every episode of #StrangerThings https://t.co/g4lDA7ig58,2022-07-03T05:31:05Z,en
3024184061,2022-07-04T18:03:35Z,nancy with guns… gotta be one of my favorite genres #strangerthings https://t.co/qdjwe4zKPN,False,True,nancy with guns… gotta be one of my favorite genres #strangerthings https://t.co/qdjwe4zKPN,2022-07-03T14:19:06Z,en
1040135049084121088,2022-07-04T18:03:35Z,"This right here #eddiemunson #upsidedown #strangerthings #netflix #masterofpuppets #hellfireclub @ San Antonio, Texas https://t.co/k3QKClCbYn",False,False,,,en
1254818129680781313,2022-07-04T18:03:34Z,Our secret is that all of us who make #StrangerThings  are also FANS. And this scene wrecked me too 😢 https://t.co/pEZGs8x0rl,False,True,Our secret is that all of us who make #StrangerThings  are also FANS. And this scene wrecked me too 😢 https://t.co/pEZGs8x0rl,2022-07-04T05:48:03Z,en
1438531660702695424,2022-07-04T18:03:34Z,I would’ve love to have seen Steve’s reaction to a certain death especially after he said this. #StrangerThings https://t.co/79NDfMnDdx,False,True,I would’ve love to have seen Steve’s reaction to a certain death especially after he said this. #StrangerThings https://t.co/79NDfMnDdx,2022-07-03T22:25:49Z,en
1438531660702695424,2022-07-04T18:01:13Z,the fact that some of the best scenes were improvised &gt;&gt;&gt; #StrangerThings https://t.co/y0pZdDawhB,False,True,the fact that some of the best scenes were improvised &gt;&gt;&gt; #StrangerThings https://t.co/y0pZdDawhB,2022-07-03T23:08:47Z,en
